,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Language,Q_RecaptchaScore,Q1,Q48,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q83,Q85,Q86,Q87,Q88,Q88_2_TEXT,Q88_3_TEXT,Q88_4_TEXT,Q4,Q6,Q5,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,SC0,SC1,SC2,SC3,SC4,SC5
Participant 203,10/31/2022 11:45:20,11/4/2022 17:04:52,IP Address,100,364771,TRUE,11/4/2022 17:04:52,R_1eUx53Hz08YqyIU,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,4- Usually,3- Often,3- Often,2- Sometimes,3- Often,2- Sometimes,3- Often,3- Often,4- Usually,3- Often,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,Severe stress,Mild stress,Severe stress,Mild stress,Moderate stress,Severe stress,Mild stress,E- describes me very well,E- describes me very well,C,D,E- describes me very well,D,D,C,D,D,E- describes me very well,B,C,B,D,E- describes me very well,C,A- does not describe me well,D,D,C,C,E- describes me very well,B,B,E- describes me very well,C,E- describes me very well,"Yes, 3+ times per week","Yes, 1+ times per week","Yes, 3x per month or less","Yes, 3x per month or less",No,,,,Current second year,20-24,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon","Black or African American,Hispanic or Latino",No,Male,"Gay, lesbian, or homosexual",Single (never married),No,Yes,No,"Yes, 10-20 hours a week",59,74,20,20,13,14
Participant 204,11/5/2022 9:48:49,11/5/2022 9:54:46,IP Address,100,356,TRUE,11/5/2022 9:54:46,R_2DTZAHfyC29XLLK,anonymous,EN,0.899999976,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,1- Almost never,4- Usually,3- Often,1- Almost never,3- Often,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,Mild stress,None,None,None,None,None,None,C,B,B,B,D,B,D,D,D,C,E- describes me very well,B,B,C,B,A- does not describe me well,D,B,E- describes me very well,B,D,A- does not describe me well,B,A- does not describe me well,D,A- does not describe me well,A- does not describe me well,D,"Yes, 3+ times per week",No,"Yes, 3+ times per week",No,"Yes, 3x per month or less",Reading,,,Current second year,20-24,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, 10-20 hours a week",50,54,14,13,22,9
Participant 205,11/7/2022 12:42:31,11/7/2022 12:53:01,IP Address,100,630,TRUE,11/7/2022 12:53:02,R_2uIYC2l0II7CYAl,anonymous,EN,1,"I consent, begin the study",2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,4- Usually,3- Often,3- Often,3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,Moderate stress,Mild stress,Moderate stress,Moderate stress,Mild Stress,None,None,C,D,A- does not describe me well,A- does not describe me well,B,B,D,E- describes me very well,D,C,E- describes me very well,C,C,A- does not describe me well,A- does not describe me well,B,C,A- does not describe me well,C,C,E- describes me very well,E- describes me very well,B,B,D,D,B,D,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",No,No,,,,Current first year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces","Asian,White",No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",47,72,13,24,26,11
Participant 206,11/7/2022 16:35:55,11/7/2022 16:43:04,IP Address,100,428,TRUE,11/7/2022 16:43:04,R_2dAUiuMJESCTpEi,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,2- Sometimes,4- Usually,1- Almost never,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,3- Often,3- Often,2- Sometimes,3- Often,1- Almost never,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,4- Usually,Mild stress,Mild stress,None,None,Mild Stress,None,Mild stress,D,D,A- does not describe me well,A- does not describe me well,D,D,B,E- describes me very well,D,B,D,A- does not describe me well,B,B,A- does not describe me well,D,B,A- does not describe me well,C,D,E- describes me very well,D,D,C,D,D,B,D,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week","Yes, 1-2 times per week","Yes, 1-2 times per week",,Spending time outdoors,,Current first year,20-24,"NSGC region 3:3 Al,FL,GA,KY,LA,MS,NC,SC,TN",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,41,83,20,23,25,13
Participant 207,11/7/2022 19:13:19,11/7/2022 19:21:40,IP Address,100,501,TRUE,11/7/2022 19:21:41,R_3NLmhIsx8A6Y57L,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,None,None,None,Moderate stress,Mild Stress,None,None,D,C,B,A- does not describe me well,D,D,B,D,D,D,D,A- does not describe me well,B,B,B,B,B,A- does not describe me well,D,E- describes me very well,D,E- describes me very well,D,B,D,D,B,D,"Yes, 3+ times per week",No,"Yes, 3+ times per week",No,"Yes, 3+ times per week",,,Cooking,Current second year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,50,78,22,24,21,13
Participant 208,11/8/2022 10:19:05,11/8/2022 10:24:26,IP Address,100,321,TRUE,11/8/2022 10:24:27,R_3MrpiEXP1SVhF3U,anonymous,EN,1,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,3- Often,3- Often,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,3- Often,3- Often,2- Sometimes,4- Usually,3- Often,2- Sometimes,3- Often,3- Often,3- Often,2- Sometimes,3- Often,Mild stress,Mild stress,Moderate stress,None,Mild Stress,None,None,E- describes me very well,D,B,B,C,A- does not describe me well,B,D,E- describes me very well,D,E- describes me very well,B,C,B,B,D,B,B,E- describes me very well,E- describes me very well,E- describes me very well,D,D,A- does not describe me well,D,D,C,D,"Yes, 3+ times per week","Yes, 1x per month or less","Yes, 3+ times per week",No,"Yes, 3+ times per week",,,"Mountain biking, hiking, rock climbing",Current second year,20-24,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon",White,No,Female,Straight or Heterosexual,In a romantic relationship,Yes,Yes,No,"Yes, less than 10 hours a week",59,75,19,23,23,8
Participant 209,11/8/2022 17:57:31,11/8/2022 18:02:44,IP Address,100,313,TRUE,11/8/2022 18:02:45,R_3hfJKNM0DV1a4ys,anonymous,EN,0.899999976,"I consent, begin the study",1- Almost never,4- Usually,4- Usually,2- Sometimes,4- Usually,1- Almost never,2- Sometimes,2- Sometimes,4- Usually,4- Usually,4- Usually,3- Often,4- Usually,2- Sometimes,4- Usually,2- Sometimes,4- Usually,4- Usually,1- Almost never,4- Usually,None,None,None,None,Severe stress,Moderate stress,None,E- describes me very well,C,B,D,D,D,A- does not describe me well,E- describes me very well,E- describes me very well,E- describes me very well,D,A- does not describe me well,E- describes me very well,C,C,D,E- describes me very well,A- does not describe me well,D,E- describes me very well,C,B,D,B,E- describes me very well,B,C,B,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",No,"Yes, 3x per month or less",drawing,,,Current first year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",Asian,No,Female,Pansexual,Single (never married),No,No,No,"Yes, less than 10 hours a week",72,74,20,18,19,15
Participant 210,11/9/2022 7:19:14,11/9/2022 7:25:50,IP Address,100,395,TRUE,11/9/2022 7:25:50,R_10obzMhCYHQAIB7,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,1- Almost never,4- Usually,2- Sometimes,3- Often,2- Sometimes,3- Often,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,None,None,None,None,Mild Stress,None,None,D,C,B,A- does not describe me well,D,C,B,D,E- describes me very well,C,D,A- does not describe me well,C,B,D,B,B,B,C,D,D,E- describes me very well,D,B,C,D,A- does not describe me well,D,"Yes, 3x per month or less",No,"Yes, 1-2 times per week","Yes, 1-2 times per week","Yes, 1-2 times per week",,Reading,,Current first year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,Married,No,No,No,"Yes, 20-30 hours a week",38,71,22,23,18,10
Participant 211,10/26/2022 13:46:52,10/26/2022 14:16:44,IP Address,29,1791,FALSE,11/9/2022 13:16:46,R_1NyozY41qET1tSy,anonymous,EN,1,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,E- describes me very well,D,B,B,E- describes me very well,B,B,D,D,D,D,B,D,B,B,D,E- describes me very well,B,D,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,15,16,12,10
Participant 212,10/26/2022 15:14:33,10/26/2022 15:15:09,IP Address,9,35,FALSE,11/9/2022 14:15:10,R_3GjPNoqwjRDTd8L,anonymous,EN,0.899999976,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,D,E- describes me very well,C,A- does not describe me well,E- describes me very well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,7,8,2,0
Participant 213,10/26/2022 15:35:42,10/26/2022 15:37:40,IP Address,3,118,FALSE,11/9/2022 14:37:42,R_2CEfo5v8UaYRoWV,anonymous,EN,1,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
Participant 214,11/9/2022 16:44:55,11/9/2022 16:49:35,IP Address,100,279,TRUE,11/9/2022 16:49:35,R_24JcKoZTqN8Tj9W,anonymous,EN,0.899999976,"I consent, begin the study",1- Almost never,2- Sometimes,2- Sometimes,1- Almost never,3- Often,2- Sometimes,2- Sometimes,1- Almost never,1- Almost never,1- Almost never,1- Almost never,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,1- Almost never,1- Almost never,1- Almost never,Mild stress,None,None,None,None,None,None,A- does not describe me well,A- does not describe me well,C,E- describes me very well,A- does not describe me well,A- does not describe me well,D,A- does not describe me well,A- does not describe me well,A- does not describe me well,A- does not describe me well,A- does not describe me well,E- describes me very well,E- describes me very well,E- describes me very well,A- does not describe me well,A- does not describe me well,E- describes me very well,E- describes me very well,A- does not describe me well,B,A- does not describe me well,A- does not describe me well,A- does not describe me well,A- does not describe me well,C,A- does not describe me well,A- does not describe me well,No,No,"Yes, 1-2 times per week",No,No,,,,Current first year,20-24,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon",Asian,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, 30-40 hours a week",45,10,11,0,3,0
Participant 215,10/26/2022 17:49:10,10/26/2022 17:50:09,IP Address,3,58,FALSE,11/9/2022 16:50:09,R_bsmdnk1MBAA0gy5,anonymous,EN,1,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
Participant 216,10/26/2022 17:47:37,10/26/2022 17:50:14,IP Address,29,156,FALSE,11/9/2022 16:50:17,R_25t0j9M7YT3Di6O,anonymous,EN,1,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,A- does not describe me well,B,D,A- does not describe me well,B,C,E- describes me very well,D,B,A- does not describe me well,E- describes me very well,B,D,B,B,B,E- describes me very well,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,16,18,8,4
Participant 217,10/26/2022 14:03:47,10/27/2022 9:16:55,IP Address,16,69187,FALSE,11/10/2022 8:17:00,R_2tJMznqLFeKexUz,anonymous,EN,0.899999976,"I consent, begin the study",,,,,,,,,,,,,,,,,,,,,,,,,,,,C,D,B,C,A- does not describe me well,D,B,B,E- describes me very well,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,5,9,4,6
Participant 218,11/10/2022 11:20:37,11/10/2022 11:34:28,IP Address,100,831,TRUE,11/10/2022 11:34:29,R_wM3eudAWlrtXCW5,anonymous,EN,1,"I consent, begin the study",4- Usually,2- Sometimes,2- Sometimes,4- Usually,1- Almost never,4- Usually,2- Sometimes,3- Often,2- Sometimes,1- Almost never,1- Almost never,4- Usually,1- Almost never,4- Usually,1- Almost never,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,2- Sometimes,Mild stress,Mild stress,Mild stress,None,None,Mild stress,None,D,B,B,A- does not describe me well,C,C,B,D,D,A- does not describe me well,D,A- does not describe me well,D,C,E- describes me very well,B,A- does not describe me well,B,C,B,E- describes me very well,D,C,B,C,B,A- does not describe me well,D,"Yes, 3x per month or less",No,"Yes, 1-2 times per week","Yes, 1-2 times per week",No,,,,Current first year,25-29,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,Married,Yes,No,No,"Yes, less than 10 hours a week",31,57,18,17,18,6
Participant 219,11/10/2022 11:34:37,11/10/2022 11:40:25,IP Address,100,347,TRUE,11/10/2022 11:40:25,R_3Icc9jkhttqhokT,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,4- Usually,4- Usually,4- Usually,2- Sometimes,3- Often,3- Often,3- Often,3- Often,2- Sometimes,1- Almost never,4- Usually,Mild stress,None,None,Mild stress,Mild Stress,None,Mild stress,C,B,C,C,D,C,A- does not describe me well,C,D,E- describes me very well,D,A- does not describe me well,E- describes me very well,B,C,D,B,B,E- describes me very well,E- describes me very well,C,C,D,A- does not describe me well,C,D,B,D,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",No,No,,,,Current first year,20-24,"NSGC region 1: CT,MA, ME,NH, RI, VT, CN Maritime Provinces",White,No,Female,Straight or Heterosexual,Married,No,No,Yes,"Yes, more than 40 hours a week",57,64,20,18,16,8
Participant 220,11/10/2022 11:39:44,11/10/2022 11:44:53,IP Address,100,308,TRUE,11/10/2022 11:44:53,R_1gGssOH3OBZtUSw,anonymous,EN,0.899999976,"I consent, begin the study",3- Often,3- Often,3- Often,3- Often,1- Almost never,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,3- Often,4- Usually,2- Sometimes,2- Sometimes,None,Mild stress,None,None,Moderate stress,None,None,D,E- describes me very well,B,D,E- describes me very well,B,C,D,E- describes me very well,B,D,A- does not describe me well,E- describes me very well,B,B,A- does not describe me well,B,A- does not describe me well,E- describes me very well,E- describes me very well,D,D,B,B,D,B,C,D,"Yes, 3x per month or less",No,"Yes, 3x per month or less",No,"Yes, 1-2 times per week",,"Reading, crocheting, or video games",,Current second year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Bisexual,In a romantic relationship,No,Yes,No,No,49,65,19,23,21,6
Participant 221,11/10/2022 11:47:41,11/10/2022 11:52:37,IP Address,100,296,TRUE,11/10/2022 11:52:38,R_2WA4LBcIL0MR462,anonymous,EN,1,"I consent, begin the study",1- Almost never,3- Often,4- Usually,2- Sometimes,2- Sometimes,3- Often,3- Often,2- Sometimes,2- Sometimes,3- Often,3- Often,4- Usually,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,3- Often,3- Often,4- Usually,3- Often,Moderate stress,Severe stress,Mild stress,None,Severe stress,None,None,D,D,C,D,D,A- does not describe me well,B,E- describes me very well,E- describes me very well,B,D,B,D,B,C,B,A- does not describe me well,A- does not describe me well,E- describes me very well,B,E- describes me very well,B,C,A- does not describe me well,D,B,A- does not describe me well,D,"Yes, 3+ times per week",No,"Yes, 3x per month or less",No,No,,,,Current first year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, 10-20 hours a week",52,56,18,17,21,2
Participant 222,11/10/2022 11:50:02,11/10/2022 11:58:55,IP Address,100,532,TRUE,11/10/2022 11:58:55,R_2DOBrokHbkYcvgi,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,3- Often,3- Often,3- Often,2- Sometimes,2- Sometimes,1- Almost never,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,Moderate stress,Mild stress,Moderate stress,Moderate stress,Mild Stress,Mild stress,Mild stress,D,E- describes me very well,B,A- does not describe me well,D,C,B,D,D,D,D,B,C,A- does not describe me well,B,D,D,A- does not describe me well,C,D,D,D,D,C,D,D,C,D,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",,"volleyball, crocheting, playing with dog, hiking",,Current first year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Bisexual,Married,No,Yes,Yes,"Yes, less than 10 hours a week",53,83,19,25,21,16
Participant 223,11/10/2022 11:59:25,11/10/2022 12:07:08,IP Address,100,462,TRUE,11/10/2022 12:07:08,R_1jkewTzLqFlggCn,anonymous,EN,1,"I consent, begin the study",3- Often,3- Often,4- Usually,3- Often,1- Almost never,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,3- Often,2- Sometimes,4- Usually,4- Usually,2- Sometimes,4- Usually,3- Often,2- Sometimes,3- Often,Severe stress,Moderate stress,Mild stress,Mild stress,Mild Stress,None,None,D,D,A- does not describe me well,B,D,D,D,E- describes me very well,C,D,E- describes me very well,A- does not describe me well,D,B,A- does not describe me well,D,B,B,D,E- describes me very well,E- describes me very well,D,D,B,E- describes me very well,E- describes me very well,B,E- describes me very well,"Yes, 1-2 times per week",No,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",,reading,,Current second year,25-29,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, less than 10 hours a week",52,81,19,21,25,11
Participant 224,11/10/2022 12:10:47,11/10/2022 12:16:23,IP Address,100,336,TRUE,11/10/2022 12:16:24,R_1HnSyFznYwj69Uw,anonymous,EN,1,"I consent, begin the study",3- Often,1- Almost never,1- Almost never,4- Usually,1- Almost never,4- Usually,2- Sometimes,3- Often,1- Almost never,1- Almost never,2- Sometimes,4- Usually,1- Almost never,4- Usually,1- Almost never,4- Usually,2- Sometimes,1- Almost never,4- Usually,1- Almost never,Mild stress,None,Mild stress,None,None,None,None,B,E- describes me very well,A- does not describe me well,C,C,D,A- does not describe me well,E- describes me very well,C,A- does not describe me well,E- describes me very well,C,C,A- does not describe me well,A- does not describe me well,B,B,A- does not describe me well,D,E- describes me very well,E- describes me very well,E- describes me very well,D,B,E- describes me very well,C,C,D,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",No,No,,,,Current first year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario","Asian,White",No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,25,76,17,24,27,10
Participant 225,11/10/2022 12:18:20,11/10/2022 12:25:36,IP Address,100,435,TRUE,11/10/2022 12:25:37,R_RqLZDKzzjEZFxpD,anonymous,EN,1,"I consent, begin the study",3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,3- Often,4- Usually,2- Sometimes,4- Usually,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,None,Mild stress,None,Moderate stress,Moderate stress,None,Mild stress,C,E- describes me very well,A- does not describe me well,A- does not describe me well,D,D,C,E- describes me very well,E- describes me very well,C,E- describes me very well,B,D,A- does not describe me well,A- does not describe me well,B,D,A- does not describe me well,D,D,E- describes me very well,E- describes me very well,E- describes me very well,B,E- describes me very well,D,B,E- describes me very well,No,"Yes, every other week","Yes, 3x per month or less",No,No,,,,Current first year,35-39,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,Married,Yes,No,No,No,41,85,20,27,25,12
Participant 226,11/10/2022 12:19:15,11/10/2022 12:29:01,IP Address,100,586,TRUE,11/10/2022 12:29:02,R_1QxSADa6MOLlFYg,anonymous,EN,1,"I consent, begin the study",4- Usually,1- Almost never,2- Sometimes,4- Usually,2- Sometimes,3- Often,2- Sometimes,4- Usually,2- Sometimes,1- Almost never,2- Sometimes,4- Usually,2- Sometimes,4- Usually,2- Sometimes,3- Often,1- Almost never,1- Almost never,4- Usually,2- Sometimes,Mild stress,Mild stress,Mild stress,Mild stress,Mild Stress,None,None,D,E- describes me very well,A- does not describe me well,D,D,B,A- does not describe me well,E- describes me very well,D,B,D,A- does not describe me well,C,B,B,C,B,A- does not describe me well,D,E- describes me very well,D,E- describes me very well,D,B,E- describes me very well,E- describes me very well,B,E- describes me very well,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week","Yes, 1-2 times per week","Yes, 3+ times per week",,,"listening to music, watching Netflix/TV",Current first year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, 10-20 hours a week",30,79,23,23,22,8
Participant 227,11/10/2022 12:36:25,11/10/2022 12:43:57,IP Address,100,451,TRUE,11/10/2022 12:43:58,R_1rrBKRgqBz0AeWT,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,4- Usually,2- Sometimes,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,1- Almost never,2- Sometimes,4- Usually,2- Sometimes,4- Usually,1- Almost never,4- Usually,3- Often,2- Sometimes,2- Sometimes,3- Often,Mild stress,None,Mild stress,None,Moderate stress,None,None,D,C,A- does not describe me well,B,C,A- does not describe me well,D,E- describes me very well,E- describes me very well,D,E- describes me very well,B,D,A- does not describe me well,D,C,A- does not describe me well,A- does not describe me well,E- describes me very well,D,E- describes me very well,B,D,A- does not describe me well,C,D,A- does not describe me well,E- describes me very well,"Yes, 3+ times per week",No,"Yes, 1-2 times per week","Yes, 3x per month or less","Yes, 1-2 times per week",,Watching mindless tv,,Current first year,25-29,"NSGC region 2: DC, DE, MD, NJ, NY, PA, VA, WV, PR, VI, Quebec",White,No,Female,Straight or Heterosexual,In a romantic relationship,No,Yes,No,"Yes, 10-20 hours a week",42,65,17,21,20,4
Participant 228,11/10/2022 12:40:29,11/10/2022 12:50:11,IP Address,100,582,TRUE,11/10/2022 12:50:11,R_2z6erYwiuvgpLWw,anonymous,EN,1,"I consent, begin the study",2- Sometimes,2- Sometimes,3- Often,4- Usually,4- Usually,2- Sometimes,2- Sometimes,3- Often,3- Often,2- Sometimes,3- Often,3- Often,2- Sometimes,4- Usually,4- Usually,3- Often,3- Often,3- Often,3- Often,4- Usually,Moderate stress,Moderate stress,Moderate stress,Severe stress,Moderate stress,Moderate stress,Severe stress,D,E- describes me very well,A- does not describe me well,A- does not describe me well,E- describes me very well,B,A- does not describe me well,E- describes me very well,D,B,E- describes me very well,A- does not describe me well,B,A- does not describe me well,B,E- describes me very well,B,A- does not describe me well,B,E- describes me very well,E- describes me very well,E- describes me very well,E- describes me very well,D,E- describes me very well,E- describes me very well,C,E- describes me very well,"Yes, 3+ times per week","Yes, every other week","Yes, 3+ times per week","Yes, 1-2 times per week","Yes, 1-2 times per week",,bachelor in paradise,,Current first year,20-24,"NSGC region 6: AK,CA,HI,ID,NV,OR,WA, British Columbia, Yukon",White,No,Female,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",51,95,23,27,24,14
Participant 229,11/10/2022 12:48:58,11/10/2022 12:54:50,IP Address,100,351,TRUE,11/10/2022 12:54:50,R_1FG1CHesNszVlNz,anonymous,EN,1,"I consent, begin the study",1- Almost never,2- Sometimes,3- Often,2- Sometimes,1- Almost never,2- Sometimes,3- Often,1- Almost never,2- Sometimes,3- Often,2- Sometimes,3- Often,4- Usually,2- Sometimes,2- Sometimes,3- Often,3- Often,1- Almost never,2- Sometimes,3- Often,Severe stress,Mild stress,None,Moderate stress,Severe stress,None,Moderate stress,D,D,B,A- does not describe me well,C,B,B,B,D,D,D,B,D,B,D,A- does not describe me well,B,B,D,C,D,D,C,B,D,D,B,D,"Yes, 3+ times per week",No,"Yes, 1-2 times per week",No,"Yes, 1-2 times per week",,,,Current first year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Male,Straight or Heterosexual,Single (never married),No,Yes,No,"Yes, less than 10 hours a week",53,63,20,21,17,9
Participant 230,11/10/2022 13:00:23,11/10/2022 13:05:14,IP Address,100,291,TRUE,11/10/2022 13:05:14,R_w6uejvia1TM3xzX,anonymous,EN,1,"I consent, begin the study",2- Sometimes,3- Often,4- Usually,3- Often,3- Often,2- Sometimes,2- Sometimes,2- Sometimes,2- Sometimes,3- Often,2- Sometimes,3- Often,4- Usually,3- Often,2- Sometimes,1- Almost never,3- Often,4- Usually,1- Almost never,2- Sometimes,Mild stress,Moderate stress,Mild stress,None,Mild Stress,None,None,E- describes me very well,D,B,B,D,B,B,C,E- describes me very well,B,D,B,C,B,A- does not describe me well,B,B,B,D,D,D,D,C,B,D,B,B,D,No,"Yes, every other week","Yes, 1-2 times per week",No,"Yes, 3x per month or less","Shaving, cleaning my room, taking care of my plants",,,Current second year,20-24,"NSGC region 4: 4 AR,IA,IL,IN,KS,MI,MN,MO,ND,NE,OH,OK,SD,WI, Ontario",White,No,Male,Straight or Heterosexual,In a romantic relationship,No,Yes,No,No,57,68,19,22,21,8
